City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,taoudenni,22.6783,-3.9836,312.78,13,33,5.45,ML,1687991159
83,aron,24.3833,77.4167,299.21,82,100,4.86,IN,1687991310
84,vieira de leiria,39.8695,-8.9324,292.76,92,75,4.12,PT,1687991317
85,vorgashor,67.5833,63.95,278.05,69,14,2.6,RU,1687991317
86,nakhon phanom,17.3333,104.4167,300.04,86,81,1.67,TH,1687991317
87,krasnovishersk,60.4078,57.082,281.43,96,13,1.63,RU,1687991214
88,geraldton,-28.7667,114.6,280.38,76,0,3.09,AU,1687991209
89,lexington,37.9887,-84.4777,302.15,53,0,1.54,US,1687991127
90,hermanus,-34.4187,19.2345,285.93,79,15,3.94,ZA,1687991112
91,atafu village,-8.5421,-172.5159,301.99,75,80,7.71,TK,1687991129
92,meadow lake,34.8014,-106.5436,307.83,17,81,6.13,US,1687991319
93,invercargill,-46.4,168.35,282.32,83,86,3.47,NZ,1687991103
94,afif,23.9065,42.9172,304.25,11,57,1.02,SA,1687991319
95,marshfield,44.6689,-90.1718,301.17,44,100,6.69,US,1687991212
96,rumphi,-11.0186,33.8575,286.44,73,65,1.98,MW,1687991320
97,malango,-2.9627,119.9001,292.12,97,96,1.0,ID,1687991320
98,hamilton,39.1834,-84.5333,302.6,54,0,4.12,US,1687991320
99,stanley,54.868,-1.6985,287.48,89,0,2.57,GB,1687991113
100,tiksi,71.6872,128.8694,282.2,85,94,1.9,RU,1687991113
101,whitehorse,60.7161,-135.0538,298.72,31,75,5.14,CA,1687991024
102,zehlendorf,52.7838,13.3878,291.4,87,9,0.94,DE,1687991321
103,keflavik,64.0049,-22.5624,282.1,87,100,11.83,IS,1687991159
104,saynshand,44.8824,110.1163,292.74,23,57,1.75,MN,1687991214
105,saipan,15.1355,145.701,302.4,100,40,4.12,MP,1687991219
106,villa mercedes,-33.6757,-65.4578,284.14,30,100,6.18,AR,1687991322
107,georgetown,5.4112,100.3354,300.11,87,20,0.0,MY,1687990909
108,sitka,57.0531,-135.33,288.09,82,100,5.14,US,1687991162
109,mejit,10.2753,170.8646,300.91,77,100,8.91,MH,1687991236
110,punta arenas,-53.15,-70.9167,275.21,93,100,6.17,CL,1687991010
111,tabou,4.423,-7.3528,297.56,82,79,3.41,CI,1687991323
112,taroa,8.7058,171.2275,301.43,76,100,7.61,MH,1687991323
113,colonia,50.9333,6.95,294.23,70,0,1.54,DE,1687991247
114,ribeira grande,38.5167,-28.7,296.36,71,96,8.49,PT,1687990926
115,mawlaik,23.6333,94.4167,298.62,91,43,0.35,MM,1687991324
116,barcelos,41.5388,-8.6151,297.55,76,0,3.32,PT,1687991324
117,crane,31.3974,-102.3501,312.61,10,1,10.53,US,1687991324
118,nili,33.7218,66.1302,293.3,24,0,3.65,AF,1687991325
119,karratha,-20.7377,116.8463,287.35,52,0,6.82,AU,1687991188
120,aleksandrovsk-sakhalinskiy,50.8975,142.1561,286.95,87,71,2.93,RU,1687991148
121,lazaro cardenas,17.9583,-102.2,304.25,62,48,4.3,MX,1687991116
122,papatowai,-46.5619,169.4708,282.2,87,100,6.02,NZ,1687991110
123,anadyr,64.75,177.4833,283.43,87,75,3.0,RU,1687991130
124,sang-e charak,35.8497,66.4369,293.12,34,0,2.03,AF,1687991326
125,sterling,39.0062,-77.4286,299.63,60,40,6.71,US,1687991326
126,santa cruz,-17.8,-63.1667,296.18,83,75,5.14,BO,1687991258
127,aasiaat,68.7098,-52.8699,276.24,83,83,2.57,GL,1687991165
128,polyarnyy,69.1989,33.4478,281.08,83,17,3.9,RU,1687991121
129,kaihua,23.3687,104.28,293.52,87,100,2.61,CN,1687991327
130,sodankyla,67.4167,26.6,287.66,83,71,1.31,FI,1687991328
131,leh,34.1667,77.5833,287.86,58,82,2.93,IN,1687991329
132,uturoa,-16.7333,-151.4333,300.12,70,2,7.56,PF,1687991137
133,oranjemund,-28.55,16.4333,287.16,93,50,4.77,NA,1687991329
134,mount pearl,47.5166,-52.7813,295.34,87,75,6.17,CA,1687991060
135,sitangkai,4.6628,119.3928,301.78,75,99,3.81,PH,1687991329
136,fada,9.5667,8.3,292.9,96,45,1.65,NG,1687991330
137,malaba,0.6346,34.2756,291.95,83,21,2.06,KE,1687991330
138,nar'yan-mar,67.6713,53.087,280.08,73,100,0.99,RU,1687991240
139,rongelap,11.1635,166.8941,301.02,82,97,9.27,MH,1687991194
140,lebu,-37.6167,-73.65,282.8,80,100,4.26,CL,1687991245
